A-(1)	"ئەی"
kill	لابردن، سڕینەوە
kill-file	لابردنی پەڕگە، سڕینەوەی پەڕگە
kilo	كیلۆ
kilobit-per-second-	کیلۆبیت لە چرکەدا
kilohertz-	کیلۆهرتز
kit	١ـ كەرەسە ٢ـ کەرەسەدان، سنووقی جێی کەرەسە و ئامێر ٣ـ سیستەمێکی پێژمێری کە لەلایەن بەکارهێنەرێکەوە چێ کراوە
lable	نیشانە
LAN	(LAN)، "لا‌ن"، ڕایەڵەی ناوخۆیی، ڕایەڵەی داپۆشەرخۆجێیی
LAN-card	کارتی "لان"
landscape-mode	شێوازی ئاسۆیی بۆ چاپکردن
laptop	لاپتۆپ، سەرئەژنۆیی
laptop-computer	کۆمپیوتەری سەرئەژنۆیی
launch	داگیرساندن
layer	چین
layout	١ـ گەڵاڵەبەندی ٢ـ کڵێشە، نەخشان، ڕووی دەرەوەی تەنێک
LCP	(LCP)، پرۆتۆکۆلی کۆنترۆڵی بەستەر
LDAP	(LDAP)، ئێڵ‌دی‌ئەی‌پی
lease	كرێ
level	ئاست
library	ژێدەرگه
license	ڕێپێدان، ڕێپێنامە، مۆڵەت
link	بەستەر
link-control-procedure-	شێوازی کۆنترۆڵبەستەر، شێوازی کۆنترۆڵی هێڵی بەستەر
linker	لێكبەستەر
liquid	تراو، ڕاو، ئاوەکی، شلە
liquid-crystal-display-	پیشانگەری بلوورینی تراو
load	باركردن
local	ناوچە، خۆماڵی، خۆجێیی
log-(1)	(بنواڕە log-in و log-out)
log-(2)	ڕووداوتۆمارگەری
log-(3)	ڕووداوتۆمارکردن
log-in-(1)	چوونەژوورەوە، چوونەژوورەوە بە سیستەم
log-in-(2)	پێوەندسازی، گرێدانگەری
log-in-(3)	١ـ چوونەناوی سیستەم ٢ـ پێکهێنانی پێوەندی ٣ـ پێکهێنانی ڕاستەوخۆی پێوەندی
log-in-(4)	بنواڕە sign in
log-out-(1)	دەرچوون، پچڕانی پێوەندی، دەرچوون لە سیستەم
log-out-(2)	پچڕانسازی، پچڕانگەری
logging	ڕووداوتۆماری، ناونووسی
logging-of	کوژاندنەوەی سیستەم
logging-on	بەکارخستنەوەی سیستەم
logic	ژیربێژی
login	چوونەژوورەوە
logout	١ـ دەرچوون ٢ـ دەرنووسی
long	درێژ، دوور
loop	كلو، گەو، ئاڵقه
loudspeaker	بڵندگۆ، بەرزەبێژ
LPT	(LPT)، ئێڵ‌پی‌تی
license	ڕێپێدان، ڕێپێنامە، مۆڵەت
link	بەستەر
link-control-procedure-	شێوازی کۆنترۆڵبەستەر، شێوازی کۆنترۆڵی هێڵی بەستەر
linker	لێكبەستەر
liquid	تراو، ڕاو، ئاوەکی، شلە
liquid-crystal-display-	پیشانگەری بلوورینی تراو
load	باركردن
local	ناوچە، خۆماڵی، خۆجێیی
log-(1)	(بنواڕە log-in و log-out)
log-(2)	ڕووداوتۆمارگەری
log-(3)	ڕووداوتۆمارکردن
log-in-(1)	چوونەژوورەوە، چوونەژوورەوە بە سیستەم
log-in-(2)	پێوەندسازی، گرێدانگەری
log-in-(3)	١ـ چوونەناوی سیستەم ٢ـ پێکهێنانی پێوەندی ٣ـ پێکهێنانی ڕاستەوخۆی پێوەندی
log-in-(4)	بنواڕە sign in
macro	پۆلەفرمان
magnet	موگناتیس
magnetic	موگناتیسی
mail	پۆست
mailbox	نامەدان
main	سەرەكی
malware	زیانەواڵه
manual	١ـ ڕێبەر، دەستکار ٢ـ پەیڕەونامە، ڕێڕەونامە، نامیلکەی ڕێنوێنی، ڕێنوێننامە
margin	قەراخ، کەنار، تەنیشت
marker	هێمادانەر، نیشانەلێدەر، نیشانەکەر، ئاماژەکەر
marketing	كڕین و فرۆشتن، بازاڕچێتی
markup-(=-mark-up)	هێمادانان، نیشانەدانان
master	سەردار
media	ڕاگەیێنەکان، ڕاگەیاندنەکان، هۆكاری ڕاگەیاندن، میدیا
media-access-control-(=-MAC)	کۆنترۆڵی دەستپێگەیشتن بە ڕاگەیێنەکان
media-center	ناوەندی ڕاگەیەنەکان
media-drive	وەگەڕخەری ڕاگەیەنەکان
medium	١ـ ناوەند، ناوەندی ٢ـ ڕاگەیێن، میدیا
memory	بیرگە
menu	لیسته، پێڕست
message	پەیام
messenger	پەیامبەر، نامەبەر، تەتەر
method	شێواز، ڕێگا
minicomputer	گچكەبژمێر، کۆمپیوتەری گچکەلە
mirror	ئاوێنە
mobile	جووڵاو، بزۆک، گەڕۆک
mobile-phone-	تەلەفۆنی گەڕۆک، تەلەفۆنی دەستی، تەلەفۆنی بزۆک
mode	دۆخ، بار، شێواز
model	مۆدێل، نموونە
modem	مۆدێم
module	یەكەی سەربەخۆ، مۆدول
monitor-(1)	مۆنیتۆر، پیشانگەر، پەردەپیشان
monitor-(2)	چاودێر، مۆنیتۆر
monitor-(3)	١ـ چاودێر، بەرنامەی چاودێر (لە سیستەمی کارپێکردندا، بەرنامەی کۆنترۆڵی فەرمانەکان) ٢ـ چاودێریکردن
monitor-(4)	١ـ چاودێر، دەزگای چاودێری (لە پێوانی خۆکاردا، ئامێرێ کە بە شێوەیەکی بەردەوام، ڕادەی یەک یان چەند بڕێک دەپێوێ) ٢ـ چاودێریکردن، ئاگالێبوون
monitoring-	چاودێری
motherboard-	تەختەی سەرەكی، تەختەدایک، دایکەتەختە
mount	جێگیركردن، بەستن، گرێدان
mouse	مشك
mouse-pad	ژێرەمشك
move	جووڵان
move-down	بۆخوارگوێزانەوە، بزواندن بۆ خوارەوە
move-up	بۆسەرگوێزانەوە، بزواندن بۆ سەرەوە
MS-Office	مایکرۆسۆفت ئۆفیس
multi	فرە، چەندین، چەند
multicast	فرەپەخش، فرەوەشان
multilanguage	فرەزمان
multimedia	فرەڕاگەیێنەکان، فرەڕاگەیەنەکان، ڕەنگاڵە
mute	کپاندن، کپکردن، دەنگبڕین
MySQL	مای‌ئێس‌كیو‌ئێڵ، مای‌سیكوێل، جۆرێكە لە بنکەدراوە
media-center	ناوەندی ڕاگەیەنەکان
media-drive	وەگەڕخەری ڕاگەیەنەکان
medium	١ـ ناوەند، ناوەندی ٢ـ ڕاگەیێن، میدیا
memory	بیرگە
menu	لیسته، پێڕست
message	پەیام
messenger	پەیامبەر، نامەبەر، تەتەر
method	شێواز، ڕێگا
minicomputer	گچكەبژمێر، کۆمپیوتەری گچکەلە
mirror	ئاوێنە
mobile	جووڵاو، بزۆک، گەڕۆک
mobile-phone-	تەلەفۆنی گەڕۆک، تەلەفۆنی دەستی، تەلەفۆنی بزۆک
mode	دۆخ، بار، شێواز
model	مۆدێل، نموونە
modem	مۆدێم
N+-	"ئێن+"
Name-Server	ڕاژەكاری ناو
namespace	بۆشاییناو
nand	"ناند"، "نە و"، "نه + و"
nano	"نانۆ"
nanotechnology	تەكنەلۆژیای نانۆ
narrowband	كورتەباند، تەسكەباند
NASA	ناسا، فەرمانگەی نەتەوایەتیی هەواگەردی و بۆشایی (لە ئەمریکادا)
NAT	ئێن‌ئەی‌تی
native	ڕەسەن، خۆماڵی، خۆیی، خۆوڵاتی، ناوخۆیی، بنەچەیی
native-language	زمانی بنەچەیی
natural	سرووشتی
navigate	ڕێنیشاندان، ڕێدۆزی
navigation	ڕێنیشاندەری، ڕێدۆزی
navigator	ڕێنیشاندەر، ڕیدۆز
NDIS	ئێن‌دی‌ئای‌ئێس
NDS	ئێن‌دی‌ئێس
negative-(-)	نەرێنی
nest	هێلانە
net	تۆڕ
net-surfer	وێبگەردی تۆڕ
NetBEUI	(NetBEUI)
NetBIOS	(NetBIOS)، "نێت‌بایووس"، سیستەمی کارپێکردنی تێچووـ دەرچووی بنەڕەتیی ڕایەڵە
netware-(1)	ڕایەڵەواڵە
NetWare-(2)	(NetWare)، "نێتوێر"
Network	ڕایەڵه، تۆڕ
network-card	كارتی ڕایەڵە
Network-File-System-	(NFS)، "ئێن‌ئێف‌ئێس" سیستەمی پەڕگەی ڕایەڵە
Network-Information-Center-	(NIC)، "نیک"، ناوەندی زانیاریی ڕایەڵە
Network-Information-Service-	ڕاژەی زانیاریی ‌ڕایەڵه، "نیس"
Network-News-Transfer-Protocol-	(NNTP)، ئێن‌ئێن‌تی‌پی، کۆنووسی گواستنەوەی هەواڵ لە ڕایەڵە
network-user-indentifer-	پێناسەری بەکارهێنەری ڕایەڵە، نهێنیی ناسینەوەی بەکارهێنەری ڕایەڵە
newbie	دەستپێكەر
Newsgroup	گرووپەهەواڵ
next	داهاتوو، دوایی، ئەوی تر
nibble	٤ بیت، نیو بایت
NIC	كارتی ڕایەڵە یان Network Information Center
nil	سفر، چۆڵ، واڵا
nill-(=-null)	چۆڵ، خاڵی، بۆش، واڵا، بەتاڵ
node	گرێ
NOR	(NOR)، توخمی ئێن‌ئۆئار
normalization	ئاساییكردنەوە
note	١ـ تێبینی، سەرنج ٢ـ یاداشت ٣ـ پەراوێز
notebook-computer	پێژمێری پەڕتووكی
Novell	(Novell)، نۆڤێل
NSA	(NSA)، ڕێکخراوەی نهێنیناسیی فەرمیی ئەمریکا
NTFS	(NTFS)، ئێن‌تی‌ئێف‌ئێس
null-(1)	١ـ بێبار، نێرەمووک ٢ـ چۆڵ ٣ـ سفر ٤ـ بێبایەخ، بێنرخ
null-(2)-(=-empty)	چۆڵ، پووچ، خاڵی، واڵا، ڤالا
null-character-	نووسەی پووچ
num-lock-key	قوفڵەكلیلی ژمارەكان، كلیلی قوفڵی ژمارەكان
number	ژمارە
numeric-	ژمارەیی
NDIS	ئێن‌دی‌ئای‌ئێس
NDS	ئێن‌دی‌ئێس
negative-(-)	نەرێنی
nest	هێلانە
net	تۆڕ
net-surfer	وێبگەردی تۆڕ
NetBEUI	(NetBEUI)
NetBIOS	(NetBIOS)، "نێت‌بایووس"، سیستەمی کارپێکردنی تێچووـ دەرچووی بنەڕەتیی ڕایەڵە
netware-(1)	ڕایەڵەواڵە
NetWare-(2)	(NetWare)، "نێتوێر"
Network	ڕایەڵه، تۆڕ
network-card	كارتی ڕایەڵە
Network-File-System-	(NFS)، "ئێن‌ئێف‌ئێس" سیستەمی پەڕگەی ڕایەڵە
Network-Information-Center-	(NIC)، "نیک"، ناوەندی زانیاریی ڕایەڵە
Network-Information-Service-	ڕاژەی زانیاریی ‌ڕایەڵه، "نیس"
object	تەن
object-linking-and-embedding-	بەستەرلێدان و خستنەناوکاری تەنەکان، "ئوو‌ئێڵ‌ئی OLE"، تەنە پێكەوە پێچراوەكان
object-oriented-	تەنخواز
object-oriented-analyse	شیتەڵكاریی تەنخواز
object-oriented-design	داڕشتنی تەنخواز
object-oriented-programming	بەرنامەسازیی تەنخواز
octal	سیستەمی ژمارەییی هەشتی
office-(1)	نووسینگە
Office-(2)-(=-Microsoft-Office)	(Office)، ئافیس، ئۆفیس، مایکرۆسۆفت ئۆفیس
offline	دەرهێڵ
online	سەرهێڵ
open	كراوە
Open-Software-Foundation	دەستەی نەرمەواڵە كراوە
Open-system	سیستەمی كراوه، سیستەم‌کراوە
opensource	سەرچاوەكراوە، ژێدەركراوه ‌
operand	کردەژمارە، کردەوەند
operate	١ـ کردەگەریکردن، کردەکردن ٢ـ وەگەڕخستن، خستنەگەڕ، ئیشپێکردن ٣ـ نەشتەرگەریکردن
operating	١ـ کارپێکردن، کارا ٢ـ کردەگەری
Operating-System	سیستەمی کارپێکردن، سیستەمی کارا، سیستەم‌کارا
operation	کردار، کار، کرده، کردەگەری‌
operator-(1)	ئوپەراتۆر، کردەگەر، کرێکار، کرێکاری کۆمپیوتەر، جێبەجێکەری کاروباری کۆمپیوتەر
operator-(2)	كردەهێما
optic	١ـ ڕووناکی (هی ڕووناکی) ٢ـ چاوی، بینایی
optical	١ـ بینایی ٢ـ ڕووناکی، ڕووناکیناسی، ئۆپتیکی
option	هەڵبژاردن
OR	"ئۆر"، "یا"
Oracle	(Oracle)، "ئووراکل"
organize	ڕێکخستن
original-equipment-manufacturer	دروستکەری کەرەستەی ڕەسەن، ئوو‌ئی‌ئێم
outbox	ناردنگه، ناردنگەی نامە
output-(1)	دەرخستە، دەرچوو، دەرخراو
output-(2)-(device)	دەرخستە، دەرچوو، ئامێری دەرچوو، بەدەربەر، ئامێری بەدەربەر
output-(3)	١ـ دەرۆچکە ٢ـ دەرچوونگە ٣ـ بەرهەم ٤ـ دەرەنجام
overview	پوختە، کورتە، هەڵسەنگاندنێکی گشتی
overview-diagram	پێنوێنی پوختە، پێنوێنی گشتی
owner	خاوەن
open	كراوە
Open-Software-Foundation	دەستەی نەرمەواڵە كراوە
Open-system	سیستەمی كراوه، سیستەم‌کراوە
opensource	سەرچاوەكراوە، ژێدەركراوه ‌
operand	کردەژمارە، کردەوەند
operate	١ـ کردەگەریکردن، کردەکردن ٢ـ وەگەڕخستن، خستنەگەڕ، ئیشپێکردن ٣ـ نەشتەرگەریکردن
operating	١ـ کارپێکردن، کارا ٢ـ کردەگەری
Operating-System	سیستەمی کارپێکردن، سیستەمی کارا، سیستەم‌کارا
operation	کردار، کار، کرده، کردەگەری‌
operator-(1)	ئوپەراتۆر، کردەگەر، کرێکار، کرێکاری کۆمپیوتەر، جێبەجێکەری کاروباری کۆمپیوتەر
operator-(2)	كردەهێما
optic	١ـ ڕووناکی (هی ڕووناکی) ٢ـ چاوی، بینایی
optical	١ـ بینایی ٢ـ ڕووناکی، ڕووناکیناسی، ئۆپتیکی
pack	گورزە، بەستەک، پریاسکە
packet-(1)	پاکەت، بەستەکی بیتی، پریاسکەی بیتی، گورزەبیتی
packet-(2)	پریاسکۆکە، پریاسکەی بچکۆلە
page	‌ پەڕه
paging	پەڕەكردن، پەڕاوین.
paint	دیمەنکێشان، وێنەکێشان، نیگارکێشان ڕەنگکاریکردن
paint-box	ڕەنگدان
pakage	گورزە
paragraph	بڕگە، پاراگراف، پەرەگراف
parameter-(1)	ڕاگەیێن، دیاریكەر، پارامەتر
parameter-(2)	١ـ ژمارەی نرخی گۆڕاو ٢ـ سنوور، ڕادە ٣ـ نیشانە، تایبەخۆ
part	بەش، پارچە ٢ـ بەشکردن، جیاکردنەوە ٣ـ بەشبوون، جیابوونەوە
partition	پارچە
passive	١ـ ناچالاك، ناڕاستەوخۆ ٢ـ بەرهەڵستینەکەر
password	تێپەڕوشە، تێپەڕەوشه، وشەی تێپەڕبوون
paste	لكاندن
patch	پینە
path	١ـ ڕێچکە، باریکەڕێ، توولەڕێ، لاڕێ، گوزەر، پیادەڕێ ٢ـ ڕێڕەو ـ پشكنڕێ
pathfinder	پێشڕەو، ڕێی تازەدۆزەرەوە
patience	١- ئارامگرتن، خۆگرتن، سرەوت، تاقەت، دان بەخۆداگرتن، دەرکردن ٢- یارییەکی کاغەزیی یەککەسییە
pause	گت، وەستان
PC-(1)	پی‌سی، کۆمپیوتەری کەسی، کۆمپیوتەری خۆیی، پێژمێری کەسی، پێژمێری خۆیی
PC-(2)	پی‌سی، کۆمپیوتەری کەسی
PC-(3)	پی‌سی، ئای‌بی‌ئێم‌پی‌سی
PCI	(PCI)، پی‌سی‌ئای
PCI-bus-speed	خێراییی تێپەڕگەی پی‌سی‌ئای
percentage	ڕێژەی سەدی
peripheral	ئامێری دەرەكی، لائامێر، ئامێری تەنیشتی، تەنیشتەئامێر
permit	ڕێدان
person	کەس
Personal-&-Computer	کۆمپیوتە‌ر (پێژمێری) کەسی
Personal-Computer-(PC)	کۆمپیوتە‌ر (پێژمێر)ی کەسی
phishing-	تۆڕەماسی
ping	(ping)، پینگ
pixel	وێنەخاڵ
plan-(1)	١ـ نەخشه، گەڵاڵە ٢ـ ڕەنگڕشتن ٣ ـ نەخشەی کار، بەرنامەی کار، بەرنامە، پلان‌ ٤ـ نەخشەکێشان، ڕەنگڕشتن ٥ـ نەخشەدانان، پلاندانان، بەرنامەدانان
PLAN-(2)	"پلان" (ناوی زمانێکی بەرنامەسازی)
platform	سەکۆ
platform-independence	سەربەخۆیی لە سەکۆ
play	لێدان
plot-(1)	١ـ وێنە، نەخشە، نیگار، بیچم ٢ـ وێنەکێشان، نەخشکێشان، نیگارکێشان
plot-(2)	تەرز، بیچم، داڕشتنی گشتی
Plotter	کێشەر، نەخشکێشەر، وێنەکێشەر، نیگارکێشەر، بیچمکێشەر، پلۆتەر
plug-and-play-(1)	پێوەكردن و لێدان
Plug-and-Play-(2)	(Plug and Play)، پلاگ‌ئەند‌پلەی
plug-in	پێوەكردن، پێوەکراو
PnP-(1)	بنواڕەplug-and-play
PNP-(2)	"پی‌ئێن‌پی"
point	بۆر، خاڵ
Point-to-Point-Protocol-	پرۆتۆکۆلی‌ خاڵ-بە-خاڵ، پرۆتۆکۆلی خاڵ‌بە‌خاڵ
pointer	نیشاندەر
policy	ڕێباز
pop-(1)	(pop)، "پاپ، پۆپ"، دەرپەڕاندن، لابردن
pop-(2)	دەرپەڕاندن، جێبەجێکردنی کردەی "پۆپ"
POP-(3)	pop، لابردن
pop-up	پۆپئەپ، سەرهەڵدەر (لەپڕ سەرهەڵدەر)
pop-up-menu	منووی سەرهەڵدەر
popular	١ـ گشتی ٢ـ بەبرەو، بەباو، باو، ویستراو
port-(1)	دەرگا
port-(2)	دەرگا
port-(3)	دەرگا
port-(4)	ڕاگواستن
port-(5)	دەرگا، دەرگە، دەرکە
port-(6)	زارک، دەم
portability	هەڵگرتەنێتی، توانای گواستنەوە یان هەڵگیران بۆهەبوون
portable	هەلگرتەنی، هەڵگرتنی، هەڵدەگیرێ، دەستی
portable-computer	پێژمێری هەڵگرتەنی، کۆمپیوتەری هەڵگرتەنی
positive-(+)	ئەرێنی
power	هێز، وزه
power-supply	سەرچاوەخۆراک، سەرچاوەخۆراکی ئەلەکترۆنیکی، سەرچاوەبژیو
preference	هەڵبژاردە
prefix	١- پێشگر ٢- پێشبەند، پێشکۆ
presentation	پێشكەشكاری
preview	پێشبینین
primary	سەرەتایی
prime-number	ژمارەی خۆبەش
print	چاپ، دەرنووس، دەرنووسكردن
Print-Screen-key	دوگمەی چاپكردنی پەردە
printer	چاپكەر، چاپگەر، دەرنووسگەر
priority	پێشەنگی
privacy	١ـ تایبەتێتی، سەربەخۆیی ٢ـ نهێنێتی
private	خۆیی، کەسی، تاکەکەسی، تایبەتی، ناگشتی، تایبەت بە خۆ
process	١ـ پرۆسه ٢ـ چارەسەر ٣ـ ڕێکخەر
processing-	١ـ چارەسەری ٢ـ ڕێکخەری
processor	١ـ چارەسەركەر ٢ـ ڕێکخەر
product	بەرهەم
professional	١ـ "پیشەیی، پیشەگەرییانە". ٢ـ "پیشەگەر، پیشەوەر".٣ـ "کارناس، پسپۆڕ، لێزان".
profile	١ـ زانیاریی تایبەتی ٢ـ لاڕوو
program	١ـ پرۆگرام، بەرنامە ٢ـ پرۆگرامکردن (لە پێژمێردا) ٣ـ بەرنامەدانان ٤ـ بەرنامەی ڕادیۆیی، بەرنامەی تەلەفزیۆنی
programmer	بەرنامەساز، بەرنامەچێکەر، بەرنامەدانەر، بەرنامەسازی کۆمپیوتەر، بەرنامەداڕێژ
programming	بەرنامەسازی، بەرنامەچێکەری، چێکردنی بەرنامەی کۆمپیوتەر
progress	پێشكەوتن، بەردەوامبوون، ڕەوت، چوونەپێش
projector	وێنەنوێن، پرۆجەكتۆر
property	تایبەتمەندی
protect	پاراستن
protocol	کۆنووس، پرۆتۆكۆڵ
provider	دابینكار، دابینكەر
proxy-(server)	(proxy)، پراکسی، پرۆکسی، پێشكار
publish	بڵاوكردنەوە
pull	ڕاکێشان
pull-down	داڕماندن، داخزاندن ـ داخزاو
pull-down-menu	لیستەی داخزاو
punch_card	كارتی كونكراو
punctuation	١ـ خاڵبەندیکردن، خاڵ‌وبۆر بۆدانان ٢ـ خاڵبەندی، خاڵ‌و‌بۆر
push	١ـ پەستاوتن، دەستپیانان ٢ـ (دەست)داگرتن، (دەست)خستنەسەر
Python	پایسن، زمانێكی بەرنامەداڕشتنە
paste	لكاندن
patch	پینە
path	١ـ ڕێچکە، باریکەڕێ، توولەڕێ، لاڕێ، گوزەر، پیادەڕێ ٢ـ ڕێڕەو ـ پشكنڕێ
pathfinder	پێشڕەو، ڕێی تازەدۆزەرەوە
patience	١- ئارامگرتن، خۆگرتن، سرەوت، تاقەت، دان بەخۆداگرتن، دەرکردن ٢- یارییەکی کاغەزیی یەککەسییە
pause	گت، وەستان
PC-(1)	پی‌سی، کۆمپیوتەری کەسی، کۆمپیوتەری خۆیی، پێژمێری کەسی، پێژمێری خۆیی
PC-(2)	پی‌سی، کۆمپیوتەری کەسی
PC-(3)	پی‌سی، ئای‌بی‌ئێم‌پی‌سی
PCI	(PCI)، پی‌سی‌ئای
PCI-bus-speed	خێراییی تێپەڕگەی پی‌سی‌ئای
percentage	ڕێژەی سەدی
peripheral	ئامێری دەرەكی، لائامێر، ئامێری تەنیشتی، تەنیشتەئامێر
permit	ڕێدان
person	کەس
QT-(1)	(QT)، "كیوتی"
QT-(4)	"کیوت"
quad	چوارجا
quality	١ـ جۆرایەتی ٢ـ تایبەخۆ ٣ـ نایاب، زۆر باش، باش ٤ـ چۆنێتی
Quality-of-Service	جۆرایەتیی ڕاژە
Quarter-Inch-Cartridge-	پاشەكەوتكەری دراوەی موگناتیسی
Qubit-	هاوشێوەی پێوانەی دووانییە
query-	پرس، داوا، داواكاری
Questions-and-Answers-	لیستەی پرسیار و وەڵامەکان، (
queue	ڕیز
quick	خێرا
Quick-Time-	"كویك تایم"
quit	وازهێنان، چوونەدەرەوە
quit-talking-	چوونەدەرەوە لە چات یان وتووێژی دەق
quiz	١ـ تاقیلە، تاقیکاریلە، تاقیکاری (تاقیکارییەکی ناسەرەکی) ٢ـ پێشبڕکێ (ناو. بۆ وێنە ڕادیۆ و تەلەفزیۆن)
quota	بەش
quote	دەق
qwerty	(qwerty) "كوێرتی"
qwertz	(qwertz)، "كوێرتز"
quick	خێرا
Quick-Time-	"كویك تایم"
quit	وازهێنان، چوونەدەرەوە
quit-talking-	چوونەدەرەوە لە چات یان وتووێژی دەق
quiz	١ـ تاقیلە، تاقیکاریلە، تاقیکاری (تاقیکارییەکی ناسەرەکی) ٢ـ پێشبڕکێ (ناو. بۆ وێنە ڕادیۆ و تەلەفزیۆن)
quota	بەش
quote	دەق
qwerty	(qwerty) "كوێرتی"
qwertz	(qwertz)، "كوێرتز"
radio	١ـ ڕادیۆ، ئامێری ڕادیۆ ٢ـ ڕادیۆیی، تیشک ٣ـ بێتەلناردن، ناردنی ڕادیۆیی
radio-button	کلیلی ڕادیۆیی
RAID	(RAID)، ڕەید، ڕیزەکی زێدەداری دیسکە هەرزانباییەکان
RAM-	"ڕەم"، "ڕام"، بیرگەی دەستپێگەیشتن-‌بەهەڵکەوت، بیرگەی دەستپێگەیشتنی ڕاستەوخۆ
RAR	ڕاڕ
RAR-file	پەڕگەی ڕاڕ
RAS-(1)	(RAS)، "ڕاس"، "ڕەس"، ڕاژەکانی دوورەدەستپێگەیشتن، ڕاژەکانی دەستپێگەیشتن لەڕێی دوورەوە
ratio	ڕێژە
raw	خاو
real-time	كاتی ڕاستی
reboot	"بووت"كردنەوە، سەرلەنوێ خستنەڕێ
recent	تازە (ڕوودان)، نوێ
recently	تازە، لەم دوایییەدا
record	تۆماركردن
recovery	گەڕاندنەوە
redo	كردنەوه
redundant	زێدە، ناپێویست
refresh	نوێكردنەوه، تازەكردنەوە، بووژاندنەوە
register	تۆمار
registration	تۆماركردن
registry	تۆمارگە
regret	١ـ پەشیمانی، پاشگەزی ٢ـ پەشیمانبوونەوە، پاشگەزبوونەوە
reject	بەرپەرچدانەوە، پەسەندنەكردن
relation	پەیوەندی
release	١ـ بەرەڵاکردن، بەردان، ئازادکردن ٢ـ بڵاوکردنەوە (فیلم، پەڕتووک، دەنگوباس ... هتد) ٣ـ شتی بڵاوکراوە (فیلم، پەڕتووک، دەنگوباس ... هتد) ٤ـ دەرچوونی وەشانێکی نوێ لە نەرمەواڵەیەک
reload	باركردنەوە
remote-	دوور، ڕێی دوور
remote-control	کۆنترۆڵ لە دوورەوە، دوورکۆنترۆڵ، دوورەکۆنترۆڵ
remove	لابردن
rename-(1)	ناونانەوە، دیسان ناونانەوە
RENAME-(2)	"ڕینەیم"
rendering	پوختەكردن
renew	نوێكردنەوە
repeat	١ـ دووپات ٢ـ دووپاتکردنەوە ٣ـ دووپاتبوونەوە
repeater	بەهێزكەر، دووبارەكەرەوە
replace-(1)	١ـ خستنەشوێنی خۆی ٢ـ جێگرتنەوە، شوێنگرتنەوە ٣ـ لەجێدانان ٤ـ جێگۆڕین، خستنەبریکردن، گۆڕینەوە
REPLACE-(2)	"ڕیپلەیس"
replication	دووپات، ڕوونووس
request	داوا
require	پێویستبوون
resell	فرۆشتنەوە
reseller	فرۆشەرەوە، دووبارە فرۆشەر
reset	ڕێكخستنەوە
response	وەڵام
restart	دەستپێكردنەوە
restore	گەڕاندنەوە
resume	بەردەوامبوونەوە، تێچوونەوە، خستنەوەكار، بەدەستهێنانەوە
roll-in	ناو-خلۆر
roll-out	دەر-خلۆر
rollback	گەڕاندنەوە
rollover	بەسەرداجووڵان
ROM	(ROM)، "ڕام"، بیرگەی تەنیا-خوێندنی
root	ڕەگ
rotate	خولاندنەوە، كرداری سووڕدان
rotation	سووڕ، خول
rotation-per-minute-	سووڕ لە خولەکدا
router	"ڕۆوتە"، "ڕۆوتەر"، ڕێدۆز
row	١ـ ڕز، ڕیز ٢ـ دێڕ ٣ـ ڕزکردن، ڕیزکردن
row-address-strobe	تیشکی ناونیشانی دێڕ
ruler	ڕاستە
run	١ـ جێبەجێ ٢ـ جێبەجێکردن، بەڕێوەبەردن (لە کۆمپیوتەردا، پێدانی پەڕگە بە وەرگێڕ، یان جێبەجێی پەڕگەی exe و لەو چەشنە) ٣ـ گەڕان، كاركردن، ئیشكردن (بۆ وێنە لە مەکینەدا)
runtime-(=-run-time)	ماوەی گەڕان، ماوەی جێبەجێکردن، كاتی جێبەجێكردن
recovery	گەڕاندنەوە
redo	كردنەوه
redundant	زێدە، ناپێویست
refresh	نوێكردنەوه، تازەكردنەوە، بووژاندنەوە
register	تۆمار
registration	تۆماركردن
registry	تۆمارگە
regret	١ـ پەشیمانی، پاشگەزی ٢ـ پەشیمانبوونەوە، پاشگەزبوونەوە
reject	بەرپەرچدانەوە، پەسەندنەكردن
relation	پەیوەندی
release	١ـ بەرەڵاکردن، بەردان، ئازادکردن ٢ـ بڵاوکردنەوە (فیلم، پەڕتووک، دەنگوباس ... هتد) ٣ـ شتی بڵاوکراوە (فیلم، پەڕتووک، دەنگوباس ... هتد) ٤ـ دەرچوونی وەشانێکی نوێ لە نەرمەواڵەیەک
reload	باركردنەوە
remote-	دوور، ڕێی دوور
remote-control	کۆنترۆڵ لە دوورەوە، دوورکۆنترۆڵ، دوورەکۆنترۆڵ
remove	لابردن
save	پاشەكەوت
save-as	پاشەكەوت وەك
scan	پشکنین، پێداگەڕی
scanner	پشکنەر، پێداگەڕ، وێنەخوێن، وێنەخوێنەر، "سکانێر"
scanning	پشکنین، پێداگەڕان
scanning-device	ئامێری پشکنین، ئامێری پێداگەڕان
scene	دیمەن
schema	گەڵاڵە، نەخشە، وێنەی پیشاندەر
scheme	گەڵاڵە، پلان، نەخشە، ڕێدانان ٢- نەخشەکێشان، ڕێدانان
scope	بوار
screen	پەردە
screensaver	پەردەپارێز
script	نووسراو، سکریپت، دەستنووس، نووسینە
script-editor	دەستکاریکەری نووسینە
script-file	پەڕگەی نووسینە
scriptwriter	نووسەر
scroll	١ـ کێشان ٢ـ پێچۆکە ٣ـ پێچۆکەنواندن، پێچۆکەنوێنی ٤ـ پێچۆکەگەری
scroll-arrow	تیرەپێچۆکە
scroll-bar	تووڵەكێشان، تووڵەپێچۆکە، تووڵەپێچۆکەدان
scroll-buffer	نێوانگری پێچۆکە
